index,group,energ_kcal,lipid_tot,carbohydrt,protein,name
153,3.0,318.0,81.3,0.2,1.8,BOMBON
154,3.0,412.62,81.82,7.71,6.56,CAJETA
155,3.0,105.28,26.33,0.04,0.34,"CALABAZA EN DULCE, PREPARACION ESTANDARIZADA"
156,3.0,98.37,24.4,0.02,0.7,"CAMOTE CON AZUCAR, PREPARACION ESTANDARIZADA"
157,3.0,223.04,34.42,8.37,3.13,"CAPIROTADA, PREPARACION ESTANDARIZADA"
158,3.0,100.0,20.0,0.0,0.0,CHAMOY
159,3.0,160.0,40.0,0.0,0.0,CHILE CON AZUCAR (TIPO MIGUELITO)
160,3.0,371.5,86.2,2.0,3.15,"CHOCOLATE EN POLVO ENRIQUECIDO (NESQUIK, CALCTOSE)"
161,3.0,385.0,79.1,5.8,4.0,CHOCOLATE EN POLVO SIN ENRIQUECER (ABUELITA EN POLVO)
162,3.0,268.59,61.11,1.32,3.08,CHOCOLATE LíQUIDO (ESTILO HERSHEYS)
163,3.0,598.0,45.9,42.63,7.79,"CHOCOLATE, AMARGO"
164,3.0,539.0,59.24,32.09,5.87,"CHOCOLATE, BLANCO"
165,3.0,539.0,59.24,32.09,5.87,"CHOCOLATE, BLANCO"
166,3.0,427.17,80.64,10.11,3.7,"CHOCOLATE CON AZUCAR (ABUELITA, IBARRA, ETC)"
167,3.0,515.83,54.56,29.4,7.68,"CHOCOLATE, CON LECHE (CARLOS V, VAQUITA, ETC)"
168,3.0,480.0,76.0,16.0,4.0,"CHOCOLATE CON MENTA (CUBIERTA O RELLENO, TIPO CHOCORETAS)"
169,3.0,531.59,50.83,36.28,9.7,"CHOCOLATE, RELLENO DE ALMENDRA, AVELLANA O CACAHUATE (TIPO FERRERO)"
170,3.0,472.08,64.3,20.72,7.1,"CHOCOLATE, RELLENO DE CARAMELO Y NUEZ (SNICKERS, MILKY WAY)"
171,3.0,546.0,61.17,31.28,4.88,"CHOCOLATE, SEMI AMARGO"
172,3.0,517.13,45.63,36.33,6.42,"CHOCOLATE, SIN AZUCAR, EN POLVO O MACIZO"
173,3.0,516.57,61.11,27.77,5.55,"CHOCOLATE, TIPO NUTELA"
174,3.0,136.45,17.39,5.05,5.36,CHONGOS ZAMORANOS
175,3.0,284.84,42.98,13.16,1.74,COCADA
176,3.0,228.0,57.9,13.7,19.6,"COCOA, EN POLVO"
177,3.0,257.0,12.49,22.22,3.2,CREMA CHANTILLY
178,3.0,220.6,44.81,4.39,0.93,"CREMA DE COCO, INDUSTRIALIZADA (PARA HACER POSTRES Y BEBIDAS)"
179,3.0,292.62,24.66,19.11,7.38,"CREPA DE NUTELLA CON NUEZ, PREPARACION ESTANDARIZADA"
180,3.0,248.03,29.91,11.53,5.99,"CREPA DE NUTELLA, PREPARACION ESTANDARIZADA"
181,3.0,203.93,25.8,9.44,4.98,"CREPA DULCE (TODOS SABORES), PREPARACION ESTANDARIZADA"
182,3.0,122.0,30.74,0.29,1.02,"DULCE DE CHABACANO, PREPARACION ESTANDARIZADA"
183,3.0,535.36,67.94,27.56,0.65,"DULCE DE CHOCOLATE, DUVALIN (TODOS SABORES)"
184,3.0,377.0,78.0,5.0,5.0,"DULCE DE LECHE, INDUSTRIALIZADO"
185,3.0,123.48,22.97,2.52,2.5,"DULCE DE LECHE, PREPARACION ESTANDARIZADA"
186,3.0,373.74,90.59,0.8,1.19,"DULCE DE TAMARINDO EN PASTA (TIPO PELÓN, BOMBAZO)"
187,3.0,182.38,47.37,0.24,1.08,"DULCE DE TAMARINDO, TARUGO O BANDERILLA"
188,3.0,358.46,88.13,0.02,0.02,"DULCE, MACIZO (PALETAS, REDONDOS, SALVAVIDAS, HALLS)"
189,3.0,397.0,91.56,3.33,0.03,"DULCE, TIPO CHICLOSOS"
190,3.0,313.16,42.0,13.9,5.32,"EMPANADA DE ARROZ CON LECHE, PREPARACION ESTANDARIZADA"
191,3.0,365.65,52.75,15.11,5.17,"EMPANADA DULCE, PREPARACION ESTANDARIZADA"
192,3.0,0.0,100.0,0.0,0.0,ERITRITOL (LIVANA)
193,3.0,400.0,98.0,0.0,0.0,ESTEVIA (CANDEREL-STEVIA) C/AZÚCAR-SUCRALOSA
